Instrument,SpreadCost
EURCHF-ICE,0
EURCZK,0
EURHUF,0
EURIBOR,0.0072
EURIBOR-ICE,0.0025
EURINR,0
EURMXP,0
EURO600,0.057
EURO600-ESG,0
EUROFIRST100,0
EUROFIRST80,0
EUROSTX,0.48
EUROSTX-CORE,0
EUROSTX-DJ,0
EUROSTX-LARGE,0.63
EUROSTX-MID,1.2
EUROSTX-PRICE,0.15
EUROSTX-SMALL,0.51
EUROSTX200-LARGE,0.93
EUROSTX_BBG,0.48
EUR_micro,5.90E-05
EUR_mini,6.10E-05
EVRG_yfinance,0
EW_yfinance,0
EXC_yfinance,0
EXE_yfinance,0
EXPD_yfinance,0
EXPE_yfinance,0
EXR_yfinance,0
FANG,21
FANG_yfinance,0
FAST_yfinance,0
FCX_yfinance,0
FDS_yfinance,0
FDX_yfinance,0
FED,0.003
FEEDCOW,0.04
FE_yfinance,0
FFIV_yfinance,0
FICO_yfinance,0
FISV_yfinance,0
FIS_yfinance,0
FITB_yfinance,0
FIX_yfinance,0
FOXA_yfinance,0
FOX_yfinance,0
FRT_yfinance,0
FSLR_yfinance,0
FTNT_yfinance,0
FTSE100,0.47
FTSE100-DIV,0
FTSE250,9.5
FTSEAFRICA40,0
FTSECHINAA,1.3
FTSECHINAA-CSOP,0
FTSECHINAA-IS,0
FTSECHINAH,13
FTSEINDO,25
FTSETAIWAN,0.14
FTSEVIET,29
FTV_yfinance,0
F_yfinance,0
GAS-LAST,0.0015
GAS-PEN,0.0012
GASOIL,0.13
GASOILINE,0.00027
GASOILINE_ICE,0.00053
GASOILINE_micro,0.0097
GAS_NL,0
GAS_UK,0
GAS_US,0.0011
GAS_US_mini,0.0028
GBP,6.10E-05
GBP-ICE,0
GBPCHF,0.00021
GBPCHF-ICE,0
GBPEUR,6.40E-05
GBPEUR-ICE,0
GBPINR,0
GBPJPY,0.024
GBPJPY-ICE,0
GBP_micro,9.40E-05
GDDY_yfinance,0
GD_yfinance,0
GEHC_yfinance,0
GEN_yfinance,0
GEV_yfinance,0
GE_yfinance,0
GICS,0.56
GICS-EXCESS,0
GILD_yfinance,0
GILT,0.005
GILT2,0
GILT5,0
GIS_yfinance,0
GLW_yfinance,0
GL_yfinance,0
GM_yfinance,0
GNRC_yfinance,0
GOLD,0.096
GOLD-CHINA,7.45
GOLD-CHINA-USD,0
GOLD-CN-HK,0
GOLD-HK,0
GOLD-JPN,0
GOLD-JPN_mini,0
GOLD-mini,0.24
GOLD_micro,0.088
GOOGL_yfinance,0
GOOG_yfinance,0
GPC_yfinance,0
GPN_yfinance,0
GRMN_yfinance,0
GS_yfinance,0
GWW_yfinance,0
HAL_yfinance,0
HANG,1.5
HANG-DIV,0
HANG-TECH,0
HANGENT,1
HANGENT-GTR,0
HANGENT-NTR,0
HANGENT_mini,1.5
HANG_mini,2
HAS_yfinance,0
HBAN_yfinance,0
HCA_yfinance,0
HD_yfinance,0
HEAT-DEG-AMS,0
HEAT-DEG-LON,0
HEAT-DEG-NY,0
HEATOIL,0.00034
HEATOIL-ICE,0.00069
HEATOIL-mini,0.0325
HEATOIL_micro,0
HIBOR,0
HIGHYIELD,0.037
HIG_yfinance,0
HII_yfinance,0
HLT_yfinance,0
HOLX_yfinance,0
HON_yfinance,0
HOOD_yfinance,0
HOUSE-BO,3.4
HOUSE-CG,3
HOUSE-DC,0
HOUSE-DN,3
HOUSE-LA,4.3
HOUSE-LV,3.9
HOUSE-MI,4.1
HOUSE-NY,3.6
HOUSE-SD,2.45
HOUSE-SF,1.95
HOUSE-US,1.7
HPE_yfinance,0
HPQ_yfinance,0
HRL_yfinance,0
HSCEI-DIV,0
HSIC_yfinance,0
HST_yfinance,0
HSY_yfinance,0
HUBB_yfinance,0
HUF,6.50E-06
HUFEUR,0
HUM_yfinance,0
HWM_yfinance,0
IBEX_mini,2.5
IBKR_yfinance,0
IBM_yfinance,0
IBXEX,0
ICE_yfinance,0
IDXX_yfinance,0
IEX_yfinance,0
IFF_yfinance,0
IG,0.038
INCY_yfinance,0
IND-BANK,0
IND-FIN,0
INR,0.015
INR-SGX,0.01
INR-SGX1,0
INR-SGX2,0
INR-micro,0.12
INTC_yfinance,0
INTU_yfinance,0
INVH_yfinance,0
IPC,0
IP_yfinance,0
IQV_yfinance,0
IRM_yfinance,0
IRON,0.066
IRON-CME,0
IRS,0.00068
IR_yfinance,0
ISRG_yfinance,0
ITW_yfinance,0
IT_yfinance,0
IVZ_yfinance,0
JBHT_yfinance,0
JBL_yfinance,0
JCI_yfinance,0
JGB,0.005
JGB-SGX-mini,0.01
JGB-mini,0.023
JKHY_yfinance,0
JNJ_yfinance,0
JP-REALESTATE,1
JPM_yfinance,0
JPY,2.70E-07
JPY-SGX,0.01
JPY-SGX-TITAN,0.01
JPYINR,0
JPY_micro,0
JPY_mini,1.20E-06
J_yfinance,0
KDP_yfinance,0
KEYS_yfinance,0
KEY_yfinance,0
KHC_yfinance,0
KIM_yfinance,0
KKR_yfinance,0
KLAC_yfinance,0
KMB_yfinance,0
KMI_yfinance,0
KOSDAQ,0.15
KOSPI,0.026
KOSPI300,0
KOSPI_mini,0.019
KO_yfinance,0
